Unnamed: 0,country,artist,title,lyrics
10,Bulgaria,The Weeknd,Blinding Lights,"I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
11,Canada,Post Malone,Sunflower - Spider-Man: Into the Spiderverse,"Needless to say, I keep her in check
She was a bad-bad, nevertheless (yeah)
Callin' it quits now, baby, I'm a wreck (wreck)
Crash at my place, baby, you're a wreck (wreck)
Needless to say, I'm keeping her in check
She was all bad-bad, nevertheless
Callin' it quits now, baby, I'm a wreck
Crash at my place, baby, you're a wreck
Thinkin' in a bad way, losin' your grip
Screamin' at my face, baby, don't trip
Someone took a big L, don't know how that felt
Lookin' at you sideways, party on tilt
Ooh-ooh-ooh
Some things you just can't refuse
She wanna ride me like a cruise
And I'm not tryna lose
Then you're left in the dust
Unless I stuck by ya
You're the sunflower
I think your love would be too much
Or you'll be left in the dust
Unless I stuck by ya
You're the sunflower
You're the sunflower
Every time I'm leavin' on you (ooh)
You don't make it easy, no (no, no)
Wish I could be there for you
Give me a reason to, oh (oh)
Every time I'm walkin' out
I can hear you tellin' me to turn around
Fightin' for my trust and you won't back down
Even if we gotta risk it all right now, oh (now)
I know you're scared of the unknown ('known)
You don't wanna be alone (alone)
I know I always come and go (and go)
But it's out of my control
And you'll be left in the dust
Unless I stuck by ya
You're the sunflower
I think your love would be too much
Or you'll be left in the dust
Unless I stuck by ya
You're the sunflower
You're the sunflower (yeah)"
12,Chile,Bad Bunny, Me Porto Bonito,"You ere 'a Bellaca, I am a Bellaco, that's what I don't' unite
She knows that she is good and they do not presume her
If I were your cat, upload a photo 'and the lune' (so)

Pa 'to' the world see how rich you are ', what you are'
With you I have to squeeze
And еn the street walking loose, but for you my Quito
If you ask me ', I ported my beautiful
And I upload a selfie pa 'that see how rich you are', what you are '
The others have to tighten
In the street I walk, but for you I take away
If you ask me ', I porto beautiful (ey, ey)

You do not ere 'baby, you ere' babyota
Frikitona, ma ', you show you
He likes trio 'when he is in the note
If the boyfriend does not work, one boot
And wow, mommy, tell me where I leave the Résume (Résume)
I know you left a me '(ey, ey)
And from one chest I dumped
If you want 'I make you a baby or I bring you plan B
Uff, mommy, what rich you see you '
Pa 'the 2000 listened to RBD
And now Perreo wants, to'a the night on the wall
THC, NO CBD
You Might Also Like
Mami, you ere 'elite (ey), don't limit me' (okyy)
Let me do what merits and levite you
Give him pa'l hide
That the 'satellite' (oh) will not be able to get there
Mommy, upload something, give me content
That ass is more 'followed
I spend, to see if I agree, he
And I finally give you
Mai, our 'beautiful' never 'oblivion
None like you has pleased me
You believe that I always tell them the same
Wants to fuck, but he doesn't want to be fixed, he
But in confidence he confesses me
Says nobody interested
But when it comes out, it gets naughty (ey)

Pa 'to' the world see how rich you are ', what you are', ey
With you I have to squeeze
And on the street I walk, but for you I take away
If you ask me ', I porto beautiful8embed"
13,Colombia,Feid,Feliz Cumpleaños Ferxxo,"I wanted to see you a long time
When you were my girlfriend you didn't go out and now you even like to turn
The time that I walk 'together' like that I leave it 'losing
I know I'm drunk, but I remember how rich she dancing ', baby

You and I, baby, doing everything
You are paating with this cat, not with that pyrobo
You are alone and I too, I'm alone
Take something, let's get rid, to do everything
That the corduroy 'mine to your friend' make him chorus
You are paating with this cat, not with that pyrobo
You are alone and I too, I'm alone
Take something, let's get rid, to do everything
That the corduroy 'mine to your friend' make him chorus

I gave you everything
To'a the night I think of you when I take
I'm mixing the pill 'with the romo
And to your ex -boyfriends I offer them lead
To 'the parishmen talking about you
I sent you songs at Cole in a CD (Wow)
We were on fire and ours I divided it
To'a the night I turn on, I'm already thinking about you
I know you're tired of so much chimbear
Looking for something that will not be the same, Yeah
The body you made I want to release it
I bought you a chain to shine
See Feid Liveget Tickets As Low As $ 23you Might Also Like
You and I do everything
You are paating with this cat, not with that pyrobo
You are alone and I too, I'm alone
Take something, let's get rid, to do everything
That the corduroy 'mine to your friend' make him chorus

Doing everything
With that pirobo2embed"
14,Costa Rica,J Balvin,LA CANCIÓN,"I thought I had forgot you, huh
But they put the song, huh, eh, eh
That Cantamo ’well drunk '
That dancing 'well drunk ’
We kissed 'well drunk' the two
I thought I had forgot you, huh
But they put the song, huh, eh, eh
That Cantamo 'well drunk'
That dancing 'well drunk'
We kissed ’well drunk’ both
I thought I had forget you

Just when he believed
That for eating do ’or ten, I would forget you '(Yeh)
I took a breath and got out of the road
And like a asshole, I didn't know what he was doing
I never overcame it, I never overcome you (no; no)
I even learned to'a the 'ballad ’in English' (Yeh)
I breathed and told up to three (one, two, three)
Ere 'Kanye West's dark fantasy, baby, ey
A long time ago it came out expensive (yih)
I only twitteo, 'crazy' shot (yih)
How to forget the beautiful car in the car?
What did he guide alone?
You Might Also Like
I thought I had 'forget you (but not), Yeh
But they put the song, Yeh, Yeh
That we sing well drunk
What dance 'well drunk
We kissed 'well drunk' lo 'dos
I thought I had 'forget you, huh
But they put the song, Yeh, Yeh
That Cantamo 'well drunk'
That dancing 'well drunk'
We kissed 'well drunk' both, hey, hey

And I hadn't come to my head for a long time
But they are already a couple of beer '
And I remembered how you kisses me '
Of to 'lo' dust 'on top' and the table
And in the car, the beach, and the motel
At your Pai's house, when I was going to see you
I see them that you 'no' came to take
You jumping Mojaíta ', sweating Chanel
I know that ours yesterday
And it makes me happy that you do well with him
I neither missed you nor wanted to see you
But they put the song you liked to put
And I remembered you, when you made me happy
It ended, then, I left, he
I laugh myself because—
I thought I had 'forget you, huh
But they put the song, Yeh, Yeh
That we sing well drunk
What dance 'well drunk
We kissed 'well drunk' lo 'do'


And I thought your name was dead, huh
But I dreamed you awake, hey
Today I left the loose street
Without feeling ', the desert heart
And I thought your name was dead
But I dreamed you awake
Today I left the loose street
Without feeling ', the desert heart11embed"
15,Cyprus,Tom Odell,Another Love,"But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights

I wanna cry and I wanna love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh

And if somebody hurts you, I wanna fight
But my hand's been broken one too many times
So I'll use my voice, I'll be so fucking rude
Words, they always win, but I know I'll lose
And I'd sing a song that'd be just ours
But I sang 'em all to another heart
See Tom Odell LiveGet tickets as low as $67You might also like
And I wanna cry, I wanna learn to love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
(Oh, need a love, now)
(My heart is thinking of)

I wanna sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up144Embed"
16,Czech Republic,Viktor Sheen,Až na měsíc,"Memories as I took the ticket to the clouds
Memories how I played us feelings on the strings
You are not destroying, because you are not my
If I see someone touch you
I will leave the depths of the soul where the darkness is
To be able to rip it off the fucking
I will not give olives for a few months
Because I welded it badly
I am heading from the apartment, but I do not know where
From an apartment where you managed to replace locks

In your eyes
I try to read
I see the whole universe
Falls sak and not snow
We've never been this deep
We've never been like this High
Me and you already know that
That I will never have to be alone again
You Might Also Like
We are higher, then lower, on, closer
Up to the moon, up to the moon
We are higher, then lower, on, then, then closer
Up to the moon, up to the moon

I'm uploading you, recording, taking me a place in the cloud
All those drugs and cigar tell me the truth about you
Your body dances on me, even in the dark I will find you
I just slow down, I add, I want your number before I leave
But I am not gone yet (I am not gone)
All that i can get u those fucking, give me you (give me you)
All that my people do at night are memories (memories)
At two in the morning drunk girls look at my lips, black eyes and evil habits (habits)

You and I
We have never been where we wanted, Ayy
We've never been what we wanted to be
We never had what we wanted to have, yau
We have never been where we wanted, Ayy
We've never been what we wanted to be
We never had what we wanted to have, yau
Universe
Says ""We belong together, open my eyes""
I will open me now
We are closer, on, which, then, then closer, come closer, take off the cross
And stop praying, we'll be dancing tonight, we'll be drinking tonight
She goes with me up as long as he plays it
We do evil when the sun goes
Even in the dark we will always find, yeah
Come on with me and leave it up to me
All those days are starting to merge me when you are closer to me
And then we are

Higher, then lower, on (on), closer
Up to the Moon, up to the Moon (MHMM)
We are higher, then lower, on, then, then closer
Up to the moon (yeah), up to the moon
We are higher, then lower, on, closer
Up to the moon, up to the moon
We are higher, then lower, on, then, then closer
Up to the moon, up to the moon3embed"
17,Denmark,Tobias Rahim,STOR MAND,"We team up in about an hour and a half
On Grønnegade with a dollar grin (uh-a)

You say you roll up if i shake
While the mornings are going to nights
All are blue - blue silhouettes
I will bar 'go even further with you

Driver along the river, i see the moon will be blocked by you
Down 'on that last we are the first to go ours's way
TA'R YOU INTO, TA'R YOU NOW, TA'R YOU SUMMER OUT
Here I give you my heart in Aarhus
Never danced with a great man
A great man like you

And yeah I feel that I own the city
As Pablo Escobar in Medellín (Uh-Ah)
With winner energy at Bellevue
How beautiful people give me deja vu (uh-oh)
You Might Also Like
You say you roll up if i shake
While the mornings are going to nights
All are blue - blue silhouettes
I will bar 'go even further with you

Driver along the river, i see the moon will be blocked by you
Down 'on the last we are the first to go our way
TA'R YOU INTO, TA'R YOU NOW, TA'R YOU SUMMER OUT
Here I give you my heart in Aarhus
Never danced with a great man
A great man like you

There 'many tears in the city of corny smiles
Seeing you go alone around
By not ', what' you think of, no
But you make that I feel like a jiggalo
There 'on the way to money right now
Buenas tardes damas y caballeros, desde dinamarca les presento tobias rahim y andreas odbjerg

Driver along the river, i see the moon will be blocked by you ()
Down 'on the last we are the first to go our way
TA'R YOU INTO, TA'R YOU NOW, TA'R YOU SUMMER OUT
Here I give you my heart in Aarhus (Desde Dinamarca)
Never danced with a great man
A great man like you3embed"
18,Dominican Republic,Bad Bunny,Me Porto Bonito,"You ere 'a Bellaca, I am a Bellaco, that's what I don't' unite
She knows that she is good and they do not presume her
If I were your cat, upload a photo 'and the lune' (so)

Pa 'to' the world see how rich you are ', what you are'
With you I have to squeeze
And еn the street walking loose, but for you my Quito
If you ask me ', I ported my beautiful
And I upload a selfie pa 'that see how rich you are', what you are '
The others have to tighten
In the street I walk, but for you I take away
If you ask me ', I porto beautiful (ey, ey)

You do not ere 'baby, you ere' babyota
Frikitona, ma ', you show you
He likes trio 'when he is in the note
If the boyfriend does not work, one boot
And wow, mommy, tell me where I leave the Résume (Résume)
I know you left a me '(ey, ey)
And from one chest I dumped
If you want 'I make you a baby or I bring you plan B
Uff, mommy, what rich you see you '
Pa 'the 2000 listened to RBD
And now Perreo wants, to'a the night on the wall
THC, NO CBD
You Might Also Like
Mami, you ere 'elite (ey), don't limit me' (okyy)
Let me do what merits and levite you
Give him pa'l hide
That the 'satellite' (oh) will not be able to get there
Mommy, upload something, give me content
That ass is more 'followed
I spend, to see if I agree, he
And I finally give you
Mai, our 'beautiful' never 'oblivion
None like you has pleased me
You believe that I always tell them the same
Wants to fuck, but he doesn't want to be fixed, he
But in confidence he confesses me
Says nobody interested
But when it comes out, it gets naughty (ey)

Pa 'to' the world see how rich you are ', what you are', ey
With you I have to squeeze
And on the street I walk, but for you I take away
If you ask me ', I porto beautiful8embed"
19,Ecuador,Bad Bunny,Me Porto Bonito,"You ere 'a Bellaca, I am a Bellaco, that's what I don't' unite
She knows that she is good and they do not presume her
If I were your cat, upload a photo 'and the lune' (so)

Pa 'to' the world see how rich you are ', what you are'
With you I have to squeeze
And еn the street walking loose, but for you my Quito
If you ask me ', I ported my beautiful
And I upload a selfie pa 'that see how rich you are', what you are '
The others have to tighten
In the street I walk, but for you I take away
If you ask me ', I porto beautiful (ey, ey)

You do not ere 'baby, you ere' babyota
Frikitona, ma ', you show you
He likes trio 'when he is in the note
If the boyfriend does not work, one boot
And wow, mommy, tell me where I leave the Résume (Résume)
I know you left a me '(ey, ey)
And from one chest I dumped
If you want 'I make you a baby or I bring you plan B
Uff, mommy, what rich you see you '
Pa 'the 2000 listened to RBD
And now Perreo wants, to'a the night on the wall
THC, NO CBD
You Might Also Like
Mami, you ere 'elite (ey), don't limit me' (okyy)
Let me do what merits and levite you
Give him pa'l hide
That the 'satellite' (oh) will not be able to get there
Mommy, upload something, give me content
That ass is more 'followed
I spend, to see if I agree, he
And I finally give you
Mai, our 'beautiful' never 'oblivion
None like you has pleased me
You believe that I always tell them the same
Wants to fuck, but he doesn't want to be fixed, he
But in confidence he confesses me
Says nobody interested
But when it comes out, it gets naughty (ey)

Pa 'to' the world see how rich you are ', what you are', ey
With you I have to squeeze
And on the street I walk, but for you I take away
If you ask me ', I porto beautiful8embed"
