,country,artist,title,lyrics
10,Bulgaria,The Weeknd,Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
11,Canada,Post Malone,Sunflower - Spider-Man: Into the Spiderverse,"Ayy, ayy, ayy, ayy (ooh)
Ooh, ooh, ooh, ooh (ooh)
Ayy, ayy
Ooh, ooh, ooh, ooh
Needless to say, I keep her in check
She was a bad-bad, nevertheless (yeah)
Callin' it quits now, baby, I'm a wreck (wreck)
Crash at my place, baby, you're a wreck (wreck)
Needless to say, I'm keeping her in check
She was all bad-bad, nevertheless
Callin' it quits now, baby, I'm a wreck
Crash at my place, baby, you're a wreck
Thinkin' in a bad way, losin' your grip
Screamin' at my face, baby, don't trip
Someone took a big L, don't know how that felt
Lookin' at you sideways, party on tilt
Ooh-ooh-ooh
Some things you just can't refuse
She wanna ride me like a cruise
And I'm not tryna lose
Then you're left in the dust
Unless I stuck by ya
You're the sunflower
I think your love would be too much
Or you'll be left in the dust
Unless I stuck by ya
You're the sunflower
You're the sunflower
Every time I'm leavin' on you (ooh)
You don't make it easy, no (no, no)
Wish I could be there for you
Give me a reason to, oh (oh)
Every time I'm walkin' out
I can hear you tellin' me to turn around
Fightin' for my trust and you won't back down
Even if we gotta risk it all right now, oh (now)
I know you're scared of the unknown ('known)
You don't wanna be alone (alone)
I know I always come and go (and go)
But it's out of my control
And you'll be left in the dust
Unless I stuck by ya
You're the sunflower
I think your love would be too much
Or you'll be left in the dust
Unless I stuck by ya
You're the sunflower
You're the sunflower (yeah)
"
12,Chile,Bad Bunny, Me Porto Bonito,"33 ContributorsTranslationsEnglishDeutschFrançaisMe Porto Bonito Lyrics

Yeah-yeah-yeah-yeah-yeah-yeah, ey
En la guagua se quedó el olor de tu perfume
Tú ere' una bellaca, yo soy un bellaco, eso e' lo que no' une
Ella sabe que está buenota y no la presumen
Si yo fuera tu gato, subiera una foto los vierne' y los lune' (So)

Pa' que to' el mundo vea lo rica que tú está', que tú está'
Contigo tengo que apretar
Y еn la calle ando suelto, pero por ti mе quito
Si tú me lo pide', yo me porto bonito
Y subo un selfie pa' que vean lo rica que tú está', que tú está'
Las otras tienen que apretar
En la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito (Ey, ey)

Tú no ere' bebecita, tú ere' bebesota
Frikitona, ma', se te nota
Le gustan los trío' cuando está en la nota
Si el novio no sirve, de una lo bota
Y wow, mami, dime dónde dejo el résume (Résume)
Sé que te dejaste hace un me' (Ey, ey)
Y de una de pecho me zumbé
Si quiere' te hago un bebé o te traigo la plan B
Uff, mami, qué rica tú te ve'
Pa' los 2000 escuchaba RBD
Y ahora quiere perreo, to'a la noche en la pared
THC, no CBD
You might also like
Mami, tú ere' élite (Ey), no te me limite' (Okey)
Déjame hacerte lo que amerite y te levite
Dale pa'l escondite (Ey), no te me arisque' (So)
Que aquí no va a poder llegar lo' satélite' (Oh)
Mami, sube algo, dame contenido
Ese culo súbelo má' seguido
Me paso jangueando, a ver si coincido, ey
Y por fin doy contigo
Mai, nuestra' bellaquera' nunca la' olvido
Ninguna como tú a mí me ha complacido
Tú cree' que a toda' siempre les digo lo mismo
Quiere chingar, pero no quiere na' fijo, ey
Pero en confianza me confiesa
Dice que nadie le interesa
Pero cuando sale, se pone traviesa (Ey)

Pa' que to' el mundo vea lo rica que tú está', que tú está', ey
Contigo tengo que apretar
Y en la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito8Embed"
13,Colombia,Feid,Feliz Cumpleaños Ferxxo,"9 ContributorsFeliz Cumpleaños Ferxxo Lyrics

Haciendo de todo
Con ese pirobo

Hace mucho te quería ver
Cuando eras mi novia no salías y ahora hasta te gusta prender
El tiempo que pasamo' junto' como que lo dejamo' perder
Yo sé que estoy borracho, pero recuerdo lo rico que bailamo', bebé

Tú y yo, bebé, haciendo de todo
Tú estás pa' andar con este gato, no con ese pirobo
Tú estás solita y yo también, también estoy solo
Tómate algo, vamos a perrear, a hacer de todo
Que los pana' míos a tus amiga' le hacen coro
Tú estás pa' andar con este gato, no con ese pirobo
Tú estás solita y yo también, también estoy solo
Tómate algo, vamos a perrear, a hacer de todo
Que los pana' míos a tus amiga' le hacen coro

Te lo di todo
To'a  la noche yo te pienso cuando tomo
Ando mezclando las pastilla' con el romo
Y a tus ex novios yo les ofrezco plomo
To' los parceros hablándome de ti
Te mandaba canciones en el cole en un CD (Wow)
Estábamos a fuego y lo nuestro lo dividí
To'a la noche prendo, ya estoy pensando en ti
Yo sé que estás cansada de tanto chimbear
Buscando algo que no será igual, yeah
El cuerpo que te hiciste lo quiero estrenar
Te compré una cadena pa' verte brillar
See Feid LiveGet tickets as low as $23You might also like
Tú y yo haciendo de todo
Tú estás pa' andar con este gato, no con ese pirobo
Tú estás solita y yo también, también estoy solo
Tómate algo, vamos a perrear, a hacer de todo
Que los pana' míos a tus amiga' le hacen coro

Haciendo de todo
Con ese pirobo2Embed"
14,Costa Rica,J Balvin,LA CANCIÓN,"51 ContributorsTranslationsEnglishDeutschLA CANCIÓN Lyrics

Yeh, yeh, yeh

Pensaba que te había olvida'o, eh
Pero pusieron la canción, eh, eh, eh
Que cantamo’ bien borracho'
Que bailamo' bien borracho’
Nos besamo' bien borracho' los dos
Pensaba que te había olvida'o, eh
Pero pusieron la canción, eh, eh, eh
Que cantamo' bien borracho'
Que bailamo' bien borracho'
Nos besamo’ bien borracho’ los dos
Pensaba que te había olvida'o

Justo cuando creía
Que por comerme a do’ o diez, te olvidaría' (Yeh)
Cogí un respiro y me salí de la vía
Y como un pendejo, no sabía lo que hacía
Nunca lo superé, nunca te superé (No; no)
Hasta me aprendí to'a la' balada’ en inglé' (Yeh)
Respiré y conté hasta tres (Uno, dos, tres)
Ere' la fantasía oscura de Kanye West, bebé, ey
Hace tiempo lo barato me salió caro (Yih)
Yo sólo twitteo, bala' loca' disparo (Yih)
¿Cómo olvidar la bellaquera en el carro?
¿A que guió solo?
You might also like
Pensaba que te había' olvida'o (Pero no), yeh
Pero pusieron la canción, yeh, yeh
Que cantamos bien borrachos
Que bailamo' bien borrachos
Nos besamo' bien borracho' lo' dos
Pensaba que te había' olvida'o, eh
Pero pusieron la canción, yeh, yeh
Que cantamo' bien borracho'
Que bailamo' bien borracho'
Nos besamo' bien borracho' los dos, ey, ey

Y hace tiempo que no venía' a mi cabeza
Pero ya van par de cerveza'
Y me acordé de cómo tú me besa'
De to' lo' polvo' encima 'e la mesa
Y en el carro, la playa, y el motel
En casa de tu pai', cuando yo te iba a ver
Las vece' que tu mai' no' llegó a coger
Tú brincando mojaíta', sudando Chanel
Yo sé que lo nuestro e' cosa de ayer
Y me pone contento que te va bien con él
Yo ni te extrañaba ni te quería ver
Pero pusieron la canción que te gustaba poner
Y me acordé de ti, cuando me hiciste feliz
Se acabó, pues, me fui, ey
Yo mismo me río de mí porque—
Pensaba que te había' olvida'o, eh
Pero pusieron la canción, yeh, yeh
Que cantamos bien borrachos
Que bailamo' bien borrachos
Nos besamo' bien borracho' lo' do'


Y yo pensaba que tu nombre estaba muerto, eh
Pero te soñé despierto, ey
Hoy salí pa' la calle suelto
Sin sentimiento', el corazón desierto
Y yo pensaba que tu nombre estaba muerto
Pero te soñé despierto
Hoy salí pa' la calle suelto
Sin sentimiento', el corazón desierto11Embed"
15,Cyprus,Tom Odell,Another Love,"106 ContributorsTranslationsالعربيةУкраїнськаDeutschPortuguêsFrançaisЎзбекTürkçeAnother Love Lyrics
I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights

I wanna cry and I wanna love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh

And if somebody hurts you, I wanna fight
But my hand's been broken one too many times
So I'll use my voice, I'll be so fucking rude
Words, they always win, but I know I'll lose
And I'd sing a song that'd be just ours
But I sang 'em all to another heart
See Tom Odell LiveGet tickets as low as $67You might also like
And I wanna cry, I wanna learn to love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
(Oh, need a love, now)
(My heart is thinking of)

I wanna sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up144Embed"
16,Czech Republic,Viktor Sheen,Až na měsíc,"16 ContributorsAž na měsíc Lyrics

Uvízl jsem, nevim jak, pod září nočních lamp
Ve fontáně, co jsem já, naplnil po okraj
Vzpomínek, jak jsem nám bral lístek do oblak
Vzpomínek, jak jsem nám hrál city na strunách
Nejsi ničí, páč nejsi má
Jestli uvidím někoho se dotýkat tě
Vyjdu z hlubin duše, kde je tma
Abych mohl toho zkurvysyna rozmrdat
Pár měsíců si olivy nedám
Páč, co jsem navařil, se špatně tráví
Já směřuju z bytu, přitom nevím kam
Z bytu, kde jsi stihla vyměnit zámky

V tvejch očích
Snažím se číst
Vidim celej vesmír
Padá skaf a ne sníh
Nikdy jsme nebyli takhle deep
Nikdy jsme nebyli takhle high
Já a ty už to víš
Že už nikdy nemusim bejt sám
You might also like
Jsme výš, pak níž, dál, blíž
Až na měsíc, až na měsíc
Jsme výš, pak níž, dál, pak blíž
Až na měsíc, až na měsíc

Já si tě nahrávám, nahrávám, zabíráš mi místo v cloudu
Všechny ty drogy a cigára o tobě mi řeknou pravdu
Tvý tělo na mě tančí, i v tý tmě tě najdu
Já jenom zpomalim, přidávám, chci tvý číslo, než odejdu
Ale já ještě nejdu pryč (Nejdu pryč)
Všechno to, co můžu dostat u těch kurev, dej mi ty (Dej mi ty)
Všechno, co dělají mí lidi v noci, jsou vzpomínky (Vzpomínky)
Ve dvě ráno mi opilý holky koukají na rty, černý oči a zlý návyky (Návyky)

Ty a já
Nikdy jsme nebyli tam, kde jsme chtěli, ayy
Nikdy jsme nebyli to, co jsme chtěli bejt
Nikdy jsme neměli to, co jsme chtěli mít, yau
Nikdy jsme nebyli tam, kde jsme chtěli, ayy
Nikdy jsme nebyli to, co jsme chtěli bejt
Nikdy jsme neměli to, co jsme chtěli mít, yau
Vesmír
Říká: ""My patříme k sobě, otevřel mý oči""
Teď je otevřu já tobě
Jsme blíž, dál, níž, pak blíž, pojď blíž, sundej kříž
A přestaň se modlit, dneska večer budem tančit, dneska večer budem pít
Jde se mnou výš, dokud to hraje
Děláme zlo, když slunce zajde
I v tý tmě se vždycky najdem, yeah
Pojď se mnou dál a nech to na mně
Všechny ty dny mi začínají splývat, když jsi u mě blíž
A pak jsme

Výš, pak níž, dál (Dál), blíž
Až na měsíc, až na měsíc (Mhmm)
Jsme výš, pak níž, dál, pak blíž
Až na měsíc (Yeah), až na měsíc
Jsme výš, pak níž, dál, blíž
Až na měsíc, až na měsíc
Jsme výš, pak níž, dál, pak blíž
Až na měsíc, až na měsíc3Embed"
17,Denmark,Tobias Rahim,STOR MAND,"18 ContributorsTranslationsEnglishSTOR MAND Lyrics

Jeg' i Jylland, brænder Cali-weed
Min' tanker kører om en evergreen (Uh-ah)
Vi teamer op om godt halvanden time
På Grønnegade med et dollargrin (Uh-ah)

Du siger, du ruller op, hvis jeg rister
Imens morgenerne bli'r til nætter
Alle er blå – blå silhuetter
Jeg vil bar' gå endnu længere med dig

Driver langs åen, jeg ser månen bli'r blokeret af dig
Ned' på Den Sidstе er vi de første til at gå vorеs vej
Ta'r dig ind, ta'r dig nu, ta'r dig sommeren ud
Her, jeg gi'r dig mit hjerte i Aarhus
Har aldrig danset med en stor mand
En stor mand som dig

Og ja, jeg føler, at jeg ejer byen
Som Pablo Escobar i Medellín (Uh-ah)
Med vinderenergi på Bellevue
Hvor smukke mennesker gi'r mig deja vu (Uh-ah)
You might also like
Du siger, du ruller op, hvis jeg rister
Imens morgenerne bli'r til nætter
Alle er blå – blå silhuetter
Jeg vil bar' gå endnu længere med dig

Driver langs åen, jeg ser månen bli'r blokeret af dig
Ned' på Den Sidste er vi de første til at gå vores vej
Ta'r dig ind, ta'r dig nu, ta'r dig sommeren ud
Her, jeg gi'r dig mit hjerte i Aarhus
Har aldrig danset med en stor mand
En stor mand som dig

Der' mange tårer i byen af corny smil
Ser dig gå alene rundt
Ved ikk', hva' du tænker på, nej
Men du gør at jeg har det som en jiggalo
Der' på vej til penge lige nu
Buenas tardes damas y caballeros, desde Dinamarca les presento Tobias Rahim y Andreas Odbjerg

Driver langs åen, jeg ser månen bli'r blokeret af dig ()
Ned' på Den Sidste er vi de første til at gå vores vej
Ta'r dig ind, ta'r dig nu, ta'r dig sommeren ud
Her, jeg gi'r dig mit hjerte i Aarhus (Desde Dinamarca)
Har aldrig danset med en stor mand
En stor mand som dig3Embed"
18,Dominican Republic,Bad Bunny,Me Porto Bonito,"33 ContributorsTranslationsEnglishDeutschFrançaisMe Porto Bonito Lyrics

Yeah-yeah-yeah-yeah-yeah-yeah, ey
En la guagua se quedó el olor de tu perfume
Tú ere' una bellaca, yo soy un bellaco, eso e' lo que no' une
Ella sabe que está buenota y no la presumen
Si yo fuera tu gato, subiera una foto los vierne' y los lune' (So)

Pa' que to' el mundo vea lo rica que tú está', que tú está'
Contigo tengo que apretar
Y еn la calle ando suelto, pero por ti mе quito
Si tú me lo pide', yo me porto bonito
Y subo un selfie pa' que vean lo rica que tú está', que tú está'
Las otras tienen que apretar
En la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito (Ey, ey)

Tú no ere' bebecita, tú ere' bebesota
Frikitona, ma', se te nota
Le gustan los trío' cuando está en la nota
Si el novio no sirve, de una lo bota
Y wow, mami, dime dónde dejo el résume (Résume)
Sé que te dejaste hace un me' (Ey, ey)
Y de una de pecho me zumbé
Si quiere' te hago un bebé o te traigo la plan B
Uff, mami, qué rica tú te ve'
Pa' los 2000 escuchaba RBD
Y ahora quiere perreo, to'a la noche en la pared
THC, no CBD
You might also like
Mami, tú ere' élite (Ey), no te me limite' (Okey)
Déjame hacerte lo que amerite y te levite
Dale pa'l escondite (Ey), no te me arisque' (So)
Que aquí no va a poder llegar lo' satélite' (Oh)
Mami, sube algo, dame contenido
Ese culo súbelo má' seguido
Me paso jangueando, a ver si coincido, ey
Y por fin doy contigo
Mai, nuestra' bellaquera' nunca la' olvido
Ninguna como tú a mí me ha complacido
Tú cree' que a toda' siempre les digo lo mismo
Quiere chingar, pero no quiere na' fijo, ey
Pero en confianza me confiesa
Dice que nadie le interesa
Pero cuando sale, se pone traviesa (Ey)

Pa' que to' el mundo vea lo rica que tú está', que tú está', ey
Contigo tengo que apretar
Y en la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito8Embed"
19,Ecuador,Bad Bunny,Me Porto Bonito,"33 ContributorsTranslationsEnglishDeutschFrançaisMe Porto Bonito Lyrics

Yeah-yeah-yeah-yeah-yeah-yeah, ey
En la guagua se quedó el olor de tu perfume
Tú ere' una bellaca, yo soy un bellaco, eso e' lo que no' une
Ella sabe que está buenota y no la presumen
Si yo fuera tu gato, subiera una foto los vierne' y los lune' (So)

Pa' que to' el mundo vea lo rica que tú está', que tú está'
Contigo tengo que apretar
Y еn la calle ando suelto, pero por ti mе quito
Si tú me lo pide', yo me porto bonito
Y subo un selfie pa' que vean lo rica que tú está', que tú está'
Las otras tienen que apretar
En la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito (Ey, ey)

Tú no ere' bebecita, tú ere' bebesota
Frikitona, ma', se te nota
Le gustan los trío' cuando está en la nota
Si el novio no sirve, de una lo bota
Y wow, mami, dime dónde dejo el résume (Résume)
Sé que te dejaste hace un me' (Ey, ey)
Y de una de pecho me zumbé
Si quiere' te hago un bebé o te traigo la plan B
Uff, mami, qué rica tú te ve'
Pa' los 2000 escuchaba RBD
Y ahora quiere perreo, to'a la noche en la pared
THC, no CBD
You might also like
Mami, tú ere' élite (Ey), no te me limite' (Okey)
Déjame hacerte lo que amerite y te levite
Dale pa'l escondite (Ey), no te me arisque' (So)
Que aquí no va a poder llegar lo' satélite' (Oh)
Mami, sube algo, dame contenido
Ese culo súbelo má' seguido
Me paso jangueando, a ver si coincido, ey
Y por fin doy contigo
Mai, nuestra' bellaquera' nunca la' olvido
Ninguna como tú a mí me ha complacido
Tú cree' que a toda' siempre les digo lo mismo
Quiere chingar, pero no quiere na' fijo, ey
Pero en confianza me confiesa
Dice que nadie le interesa
Pero cuando sale, se pone traviesa (Ey)

Pa' que to' el mundo vea lo rica que tú está', que tú está', ey
Contigo tengo que apretar
Y en la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito8Embed"
20,Egypt,Wegz,البخت,"18 ContributorsTranslationsEnglishEl Bakht - البخت Lyrics
عيني منها بشكل جِدّي (عيني منها بشكل جِدّي)
وتقيلة مش تقلانة، إتبخّر سحري (ولا باجي على بالها)
ومش باجي على بالها، ما فكرتشي (ولا باجي على بالها)
وبالي فيها، بابا بالي مش ملكي (ولا باجي على بالها)

بلعب البخت (وبعدين؟)، سألتها ورفضتني
إستغربتها، أومال فين هيبتي؟
حبيبي أنا بضحك على خيبتي
يا أخي كنت ع الثبات وهزّتني
واللي فات ده كان سحري
مش باجي على بالها إن جت سيرتي
أنا بالي معاها مش ملكي
قالِت كلام قبل أما تشوفني
عارفني صعب ومش مفهوم
كلامي دبش ومش موزون
أو بتحب حد والبال مشغول
ما شفتوهاش ولا حد يلومني
ملاك بريء ولا أنا مخدوع
هيا توتر ولا أنا مهزوز
أو آذاها حد والكل مرفوض

ولا إيه القصة؟ حبيبي فيدني
اللي أذوك ياما، حبيبي سيبني
أخلي اللي  جاي ورود وشموع
يتغنّالها وبصوت مسموع
ولا إيه القصة حبيبي فيدني
اللي آذوك ياما حبيبي سيبني
أنسيك ماضي كله دموع
ولا ما أقدرش أسيبك موجوع
You might also like
سحرتني ولا سحرتلي
(سحرتني ولا سحرتلي)
وعيون مش محتاجة تسحرلي
(وعيون مش محتاجة تسحرلي)
مش عايزة تجيبني بس جابتني
(مش عايزة تجيبني بس جابتني)
ونسيتني وفي قصتي حبستني

والله ووقعت، بفكر فيك كتير بالي عليك مشغول
وأنا بتصعب عليا حالي وأنا بكتبلِك كلام معسول
بعيد عن عيني ويا عيني، مع غيري ومش مبسوط
ده أنا أضيّع عمري يا عمري وأحبِك حب مش مشروط

لا تلاقي عندي وعود كدابة
وكبرت على ولا شيء مضمون
كلامي على قد اللي معايا
في الحب ما أستناش مردود
بالراحة على قلبي المكسور
اللي مشكلته إنه فيك مسحول
مين إختار اللي عينيك عملوه
ده مش ذنبي أنا صحيت محطوط

ولا إيه القصة؟ حبيبي فيدني
اللي أذوك ياما، حبيبي سيبني
أخلي اللي  جاي ورود وشموع
يتغنّالها وبصوت مسموع
ولا إيه القصة حبيبي فيدني
اللي آذوك ياما حبيبي سيبني
أنسيك ماضي كله دموع
ولا ما أقدرش أسيبك موجوع
ولا إيه القصة؟ حبيبي فيدني
اللي أذوك ياما، حبيبي سيبني
أخلي اللي  جاي ورود وشموع
يتغنّالها وبصوت مسموع
ولا إيه القصة حبيبي فيدني
اللي آذوك ياما حبيبي سيبني
أنسيك ماضي كله دموع
ولا ما أقدرش أسيبك موجوع
يا ليلي يا ليل
يا ليلي، ليلي يا ليل
ليلي، ليلي يا ليل5Embed"
21,El Salvador,J Balvin,LA CANCIÓN,"51 ContributorsTranslationsEnglishDeutschLA CANCIÓN Lyrics

Yeh, yeh, yeh

Pensaba que te había olvida'o, eh
Pero pusieron la canción, eh, eh, eh
Que cantamo’ bien borracho'
Que bailamo' bien borracho’
Nos besamo' bien borracho' los dos
Pensaba que te había olvida'o, eh
Pero pusieron la canción, eh, eh, eh
Que cantamo' bien borracho'
Que bailamo' bien borracho'
Nos besamo’ bien borracho’ los dos
Pensaba que te había olvida'o

Justo cuando creía
Que por comerme a do’ o diez, te olvidaría' (Yeh)
Cogí un respiro y me salí de la vía
Y como un pendejo, no sabía lo que hacía
Nunca lo superé, nunca te superé (No; no)
Hasta me aprendí to'a la' balada’ en inglé' (Yeh)
Respiré y conté hasta tres (Uno, dos, tres)
Ere' la fantasía oscura de Kanye West, bebé, ey
Hace tiempo lo barato me salió caro (Yih)
Yo sólo twitteo, bala' loca' disparo (Yih)
¿Cómo olvidar la bellaquera en el carro?
¿A que guió solo?
You might also like
Pensaba que te había' olvida'o (Pero no), yeh
Pero pusieron la canción, yeh, yeh
Que cantamos bien borrachos
Que bailamo' bien borrachos
Nos besamo' bien borracho' lo' dos
Pensaba que te había' olvida'o, eh
Pero pusieron la canción, yeh, yeh
Que cantamo' bien borracho'
Que bailamo' bien borracho'
Nos besamo' bien borracho' los dos, ey, ey

Y hace tiempo que no venía' a mi cabeza
Pero ya van par de cerveza'
Y me acordé de cómo tú me besa'
De to' lo' polvo' encima 'e la mesa
Y en el carro, la playa, y el motel
En casa de tu pai', cuando yo te iba a ver
Las vece' que tu mai' no' llegó a coger
Tú brincando mojaíta', sudando Chanel
Yo sé que lo nuestro e' cosa de ayer
Y me pone contento que te va bien con él
Yo ni te extrañaba ni te quería ver
Pero pusieron la canción que te gustaba poner
Y me acordé de ti, cuando me hiciste feliz
Se acabó, pues, me fui, ey
Yo mismo me río de mí porque—
Pensaba que te había' olvida'o, eh
Pero pusieron la canción, yeh, yeh
Que cantamos bien borrachos
Que bailamo' bien borrachos
Nos besamo' bien borracho' lo' do'


Y yo pensaba que tu nombre estaba muerto, eh
Pero te soñé despierto, ey
Hoy salí pa' la calle suelto
Sin sentimiento', el corazón desierto
Y yo pensaba que tu nombre estaba muerto
Pero te soñé despierto
Hoy salí pa' la calle suelto
Sin sentimiento', el corazón desierto11Embed"
22,Estonia,5MIINUST,Aluspükse,"5 ContributorsAluspükse Lyrics
Väljas on 200 kraadi
Me ootame rakveres praami
2 paari sokid sandaalid
Ja alukaid pole mul lahtised plaanid
Võta see cava ja klaasid
Ja kuulame jahi peal caatrit
Vahetasin mündid põrsas kinni
Ja ostsime selle eest paadi
Ja nüüd me üksinda
Aluspüksita
Ja kui keegi ei näind
Siis keegi ei räägi
Ja keegi ei oska ka küsida
A meil on üks öö veel
Ja sul on tükk tööd veel
Kaks päeva eilani
Ja ka homme oma pükse me ei leiagi niiet

Alasti rannas me
Ja pole rohkem siin keegi
Sa vaibid, sa fiilid mu meelt
Ma tean, et sa tead, mulle meeldib
Alasti rannas me
Ja pole rohkem siin keegi
Sa vaibid, sa fiilid mu meelt
You might also likeSul pole aluspükse
Ei ole aluspükse
Ei ole aluspükse
Ei ma tean, et sa tead, mulle meeldib
Sul pole aluspükse
Ei ole aluspükse
Ei ole aluspükse
Ei ma tean, et sa tead, mulle meeldib

Me pidime lennata dominikaani, kui eestis on lumi (eestis on lumi)
Ma ostsin need kleidid, et alasti näha sind riietusruumis (riietusruumis)
Soolane vesi on su huultel
Vesi on 30 kraadi ma toon margaritat
Sa paned peale
Minu esimest plaati
Ja las mängib, tule nüüd paati
Vööris teeb winsleti moodi spagaati
See on korralik saavutus klounitrikk
See pole loch ness vaid mo big dick (jea)
Aluspüksata, mugav nii merel on hüpata
Tuline suurte relvade gäng
See on suvine tuulekellade mäng
Kõik tee on katki
Sinu südamesse tee on katki
Tõmbasin ennast jälle kinni
Ja sa ei saanud mul öösel lahti
Kurvastus o jopenpuhh
Jumal anna meile tänapäev
Ma vihkan kui sa ära lähed
Su aktus on ju homme
Ütle miks sa täna lähed
Süüa ei saagi
Püksid jälle maani
Nagu kohver ütleb:
“võsu on ibiza ja pärnu on miami”
Alasti rannas me
Ja pole rohkem siin keegi
Sa vaibid, sa fiilid mu meelt
Ma tean, et sa tead, mulle meeldib
Alasti rannas me
Ja pole rohkem siin keegi
Sa vaibid, sa fiilid mu meelt
Sul pole aluspükse
Ei ole aluspükse
Ei ole aluspükse
Ei ma tean, et sa tead, mulle meeldib
Sul pole aluspükse
Ei ole aluspükse
Ei ole aluspükse
Ei ma tean, et sa tead, mulle meeldib

Kui keegi pole sind kutsunud siia
Ja baaris sust välja ei tehta
Ja peeglist puudrit pruukisid ninna
Et omapäi poleks nii kehva
Sa haarasid käest, tundsid end üksi
Ootuspäraselt jalast su püksid
Öide laintes täiesti paljalt (alasti)
Jääme igavesti randa
Piisab vaid sinust
Me täna pole aintes (sokid ja t-särk)
Vaid täiesti kained (superkained)
Püksata laintes
Piisab vaid sinust (mitte keegi veel)
Me täna pole aintes (ja ei olegi vaja)
Vaid täiesti kained (mulle meeldib see)
Oleme püksata laintes (meil on eriti ladna)Embed"
